                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.3417,                0.47792,                 1.2352,                0.98751,                0.98837,                 0.9942,                0.60483,                 1.4422,                0.40424,                 1.3702,             9.2301e-05,             9.2301e-05,             9.2301e-05
                     79,                 1.3689,                0.48695,                 1.2595,                0.98553,                0.98505,                0.99106,                0.60633,                 1.4347,                0.40888,                  1.381,             9.2201e-05,             9.2201e-05,             9.2201e-05
                     80,                  1.357,                0.48051,                  1.247,                0.99063,                0.98671,                0.99155,                0.60647,                 1.4369,                0.40669,                 1.3761,             9.2101e-05,             9.2101e-05,             9.2101e-05
                     81,                 1.3465,                0.47421,                 1.2508,                0.99292,                0.98837,                0.99426,                 0.6054,                 1.4429,                 0.4066,                 1.3809,             9.2001e-05,             9.2001e-05,             9.2001e-05
                     82,                 1.3634,                  0.484,                 1.2584,                 0.9911,                0.98837,                0.99302,                0.60811,                 1.4333,                0.40545,                 1.3889,             9.1901e-05,             9.1901e-05,             9.1901e-05
                     83,                 1.3732,                0.49121,                 1.2523,                0.98948,                0.98837,                 0.9928,                0.60276,                 1.4473,                0.40657,                 1.3868,             9.1801e-05,             9.1801e-05,             9.1801e-05
                     84,                 1.3502,                0.47878,                 1.2342,                0.98901,                0.98837,                  0.993,                0.60136,                 1.4362,                0.40537,                 1.3674,             9.1701e-05,             9.1701e-05,             9.1701e-05
                     85,                 1.3611,                 0.4829,                  1.254,                0.98775,                0.98837,                0.99318,                0.60683,                 1.4418,                0.40527,                 1.3804,             9.1601e-05,             9.1601e-05,             9.1601e-05
                     86,                 1.3529,                0.48342,                 1.2486,                0.98666,                0.98671,                0.99188,                0.61148,                 1.4395,                 0.4072,                 1.3918,             9.1501e-05,             9.1501e-05,             9.1501e-05
                     87,                 1.3491,                 0.4831,                 1.2448,                0.99001,                 0.9877,                0.99309,                0.60651,                 1.4374,                0.40457,                 1.3826,             9.1401e-05,             9.1401e-05,             9.1401e-05
                     88,                 1.3559,                0.48432,                 1.2494,                0.99233,                0.99003,                0.99468,                0.61095,                 1.4425,                0.40885,                 1.3902,             9.1301e-05,             9.1301e-05,             9.1301e-05
                     89,                 1.3525,                0.47941,                 1.2493,                0.99086,                0.98671,                0.99337,                0.61003,                 1.4409,                0.40614,                 1.3967,             9.1201e-05,             9.1201e-05,             9.1201e-05
                     90,                 1.3444,                0.48134,                 1.2438,                0.98834,                0.98546,                0.99242,                0.61156,                 1.4452,                0.40504,                 1.3771,             9.1101e-05,             9.1101e-05,             9.1101e-05
                     91,                 1.3623,                0.48731,                 1.2575,                0.98623,                0.98505,                0.99293,                0.60663,                 1.4427,                0.40821,                 1.3747,             9.1001e-05,             9.1001e-05,             9.1001e-05
                     92,                 1.3665,                 0.4822,                 1.2529,                0.98722,                0.98671,                0.99202,                 0.6086,                 1.4423,                0.40885,                  1.373,             9.0901e-05,             9.0901e-05,             9.0901e-05
                     93,                 1.3384,                0.48181,                 1.2459,                0.98381,                0.98339,                0.99142,                0.61262,                 1.4336,                0.40699,                 1.3881,             9.0801e-05,             9.0801e-05,             9.0801e-05
                     94,                  1.351,                0.48057,                 1.2474,                0.98455,                0.98339,                0.99025,                0.60752,                 1.4388,                0.40898,                 1.3894,             9.0701e-05,             9.0701e-05,             9.0701e-05
                     95,                 1.3474,                 0.4829,                 1.2533,                0.97818,                0.97841,                0.98905,                0.60867,                 1.4425,                0.40651,                 1.3886,             9.0601e-05,             9.0601e-05,             9.0601e-05
                     96,                 1.3442,                0.47604,                 1.2433,                0.98502,                0.98505,                0.99147,                0.60717,                 1.4456,                0.41073,                  1.389,             9.0501e-05,             9.0501e-05,             9.0501e-05
                     97,                  1.345,                0.48219,                 1.2393,                 0.9849,                0.98505,                0.99158,                0.60759,                  1.441,                0.41357,                 1.3849,             9.0401e-05,             9.0401e-05,             9.0401e-05
